,prediction,kids
0,20,0
2,50,0
3,20,1
5,10,0
7,10,0
10,0,1
14,15,0
16,50,0
22,45,0
24,50,1
27,50,0
28,50,0
32,50,0
33,0,0
35,50,2
36,0,0
37,0,0
39,0,0
40,0,0
42,0,0
44,100,1
46,50,0
47,30,1
48,50,1
49,0,0
52,0,0
53,0,1
54,0,0
55,20,0
58,50,0
60,55,1
62,1,0
68,20,0
71,25,0
76,0,0
77,50,0
80,10,0
83,15,0
85,0,0
90,0,0
93,25,0
99,80,1
100,0,1
101,0,0
102,0,0
103,0,0
106,0,0
108,20,0
109,0,0
110,25,0
111,0,0
113,25,0
114,60,0
126,0,0
127,0,0
128,10,0
129,10,0
135,10,0
136,0,2
138,0,0
141,25,1
146,75,0
147,0,1
148,0,0
150,25,0
152,0,2
156,10,0
159,50,0
161,0,1
163,20,1
165,20,0
168,0,0
169,0,0
170,0,0
174,0,0
176,0,0
180,10,0
181,0,0
182,0,0
185,15,0
188,0,0
191,70,3
192,100,1
193,0,1
197,50,0
200,50,0
202,60,0
203,25,0
204,25,0
206,5,0
207,0,0
210,50,0
212,5,0
213,20,0
215,0,2
216,50,0
220,10,0
223,20,0
225,0,1
226,0,0
228,5,0
233,90,1
234,0,0
235,0,0
237,0,0
239,20,0
240,0,0
242,0,0
244,0,0
247,97,0
251,20,0
252,0,0
254,0,0
265,10,0
266,0,0
268,0,0
269,40,1
270,50,2
271,75,1
272,25,0
275,50,1
283,100,1
285,0,0
287,0,0
288,0,0
289,0,0
290,35,2
291,0,1
292,0,0
294,0,0
295,0,0
297,0,0
299,0,0
300,20,0
302,50,0
304,80,0
305,90,0
306,30,0
308,100,0
311,50,0
312,1,0
314,70,0
316,100,2
319,0,0
321,0,0
325,0,0
326,0,0
330,0,0
332,0,0
333,25,0
334,75,0
337,0,0
338,1,0
350,50,0
351,50,0
352,40,3
353,50,0
354,50,3
355,0,0
358,50,0
361,100,3
362,45,0
363,50,0
364,0,3
365,0,0
367,100,0
370,50,3
372,0,0
373,50,0
376,55,0
381,10,0
386,0,2
387,50,2
388,0,0
389,50,1
399,30,0
401,5,0
402,99,1
405,50,0
406,80,2
408,100,0
410,75,2
414,50,0
415,25,0
416,10,0
422,0,0
423,0,0
424,50,0
425,0,0
427,2,1
430,0,0
432,15,0
436,100,2
438,35,0
441,70,0
443,25,0
446,0,0
447,0,0
448,0,0
449,0,1
458,0,0
459,50,1
460,0,1
461,15,1
463,75,1
464,0,1
466,0,1
467,70,0
468,5,2
469,10,2
471,0,0
472,10,2
473,30,0
476,20,1
477,0,1
478,15,0
479,50,0
483,10,0
485,50,0
487,50,0
488,20,0
491,0,0
493,0,0
496,20,0
497,50,0
503,10,0
506,50,0
508,33,0
511,75,2
514,5,0
517,90,0
518,0,2
522,100,2
527,10,0
528,10,0
529,0,0
532,50,0
533,50,0
534,0,0
537,45,0
539,50,1
540,75,0
541,10,0
547,0,0
555,50,2
556,90,1
558,0,0
559,50,3
561,0,0
565,0,0
569,20,0
572,0,2
573,0,4
578,50,0
581,0,0
582,0,0
583,10,0
584,0,0
586,85,1
590,50,0
591,0,0
593,0,4
594,93,2
598,15,0
601,0,1
603,80,2
604,20,1
606,10,1
608,0,0
609,90,0
613,0,0
614,50,0
616,0,0
621,100,0
623,100,0
625,50,1
628,94,0
631,30,0
632,25,0
633,0,0
