,age,father,mother
0,0,No,No
1,0,No,No
2,0,No,No
3,0,No,No
4,0,No,No
5,0,No,No
6,0,Non Interview,Non Interview
7,0,Non Interview,Non Interview
8,0,No,No
9,0,Non Interview,Non Interview
10,0,No,No
11,0,No,No
12,0,Don't Know,No
13,0,Non Interview,Non Interview
14,0,Non Interview,Non Interview
15,0,No,No
16,0,Non Interview,Non Interview
17,0,No,No
18,23,Non Interview,Non Interview
19,0,Non Interview,Non Interview
20,0,No,No
21,0,No,No
22,0,Yes,No
23,0,No,No
24,0,No,No
25,0,Yes,No
26,0,Valid Skip,No
27,0,No,No
28,0,Non Interview,Non Interview
29,0,Non Interview,Non Interview
30,0,No,No
31,0,No,No
32,0,No,No
33,0,No,No
34,0,No,No
35,0,No,No
36,0,No,No
37,0,No,No
38,0,No,No
39,0,Non Interview,Non Interview
40,0,No,No
41,0,Non Interview,Non Interview
42,0,No,No
43,0,No,No
44,0,No,No
45,0,No,No
46,0,Don't Know,Don't Know
47,0,Valid Skip,Yes
48,0,No,No
49,0,No,No
50,0,No,No
51,0,No,No
52,0,No,No
53,0,No,No
54,0,No,No
55,0,No,No
56,0,No,No
57,0,No,No
58,0,Valid Skip,No
59,0,Non Interview,Non Interview
60,0,No,No
61,0,No,No
62,0,No,No
63,0,Non Interview,Non Interview
64,0,Non Interview,Non Interview
65,0,Non Interview,Non Interview
66,0,No,No
67,0,No,No
68,0,Non Interview,Non Interview
69,0,No,No
70,0,Non Interview,Non Interview
71,0,Non Interview,Non Interview
72,0,Non Interview,Non Interview
73,0,No,No
74,0,No,No
75,0,Non Interview,Non Interview
76,0,Non Interview,Non Interview
77,0,No,No
78,0,No,No
79,0,No,No
80,0,No,No
81,0,Valid Skip,No
82,0,No,No
83,0,No,No
84,18,Don't Know,No
85,0,No,No
86,0,Non Interview,Non Interview
87,0,No,No
88,0,No,No
89,0,No,No
90,0,No,No
91,0,No,No
92,0,Non Interview,Non Interview
93,0,Valid Skip,No
94,0,Non Interview,Non Interview
95,0,Non Interview,Non Interview
96,0,No,No
