,-4,0,1,2,3,4,-3,5
MAR_STATUS_1994.01,8824.0,160.0,,,,,,
MAR_STATUS_1994.02,8688.0,296.0,,,,,,
MAR_STATUS_1994.03,8549.0,435.0,,,,,,
MAR_STATUS_1994.04,8424.0,560.0,,,,,,
MAR_STATUS_1994.05,8296.0,687.0,1.0,,,,,
MAR_STATUS_1994.06,8159.0,823.0,2.0,,,,,
MAR_STATUS_1994.07,8023.0,959.0,2.0,,,,,
MAR_STATUS_1994.08,7882.0,1100.0,2.0,,,,,
MAR_STATUS_1994.09,7738.0,1244.0,2.0,,,,,
MAR_STATUS_1994.10,7592.0,1390.0,2.0,,,,,
MAR_STATUS_1994.11,7446.0,1536.0,2.0,,,,,
MAR_STATUS_1994.12,7292.0,1689.0,3.0,,,,,
MAR_STATUS_1995.01,7137.0,1844.0,3.0,,,,,
MAR_STATUS_1995.02,7009.0,1971.0,4.0,,,,,
MAR_STATUS_1995.03,6852.0,2128.0,4.0,,,,,
MAR_STATUS_1995.04,6727.0,2254.0,3.0,,,,,
MAR_STATUS_1995.05,6584.0,2396.0,4.0,,,,,
MAR_STATUS_1995.06,6436.0,2541.0,7.0,,,,,
MAR_STATUS_1995.07,6276.0,2700.0,7.0,1.0,,,,
MAR_STATUS_1995.08,6110.0,2866.0,6.0,2.0,,,,
MAR_STATUS_1995.09,5928.0,3047.0,7.0,2.0,,,,
MAR_STATUS_1995.10,5776.0,3199.0,7.0,2.0,,,,
MAR_STATUS_1995.11,5621.0,3353.0,8.0,2.0,,,,
MAR_STATUS_1995.12,5467.0,3505.0,10.0,2.0,,,,
MAR_STATUS_1996.01,5305.0,3664.0,13.0,2.0,,,,
MAR_STATUS_1996.02,5186.0,3783.0,13.0,2.0,,,,
MAR_STATUS_1996.03,5028.0,3939.0,15.0,2.0,,,,
MAR_STATUS_1996.04,4890.0,4076.0,16.0,2.0,,,,
MAR_STATUS_1996.05,4752.0,4213.0,17.0,2.0,,,,
MAR_STATUS_1996.06,4604.0,4362.0,16.0,1.0,1.0,,,
MAR_STATUS_1996.07,4440.0,4526.0,15.0,2.0,1.0,,,
MAR_STATUS_1996.08,4279.0,4687.0,15.0,2.0,1.0,,,
MAR_STATUS_1996.09,4113.0,4852.0,16.0,2.0,1.0,,,
