LCI,R3500900,E7013407,S1542000,E8013403,R1487700,R2602100,S3594800,T6216501,S0921200,R0070700
0,0,0,1,0,0,1,0,1,2,1
0,1,0,2,0,1,0,9,2,4,1
1,1,1.354122,4,34.8614,1,0,1,3.281388,3,1
3,1,1,10,0,0,1,1,1,4,4
1,0,2,1,0,5,3,1.8549,6,2,2
1,0,2,2,0,1,0,1,1,4,3
1,1,2,4,99,0,0,1.8549,5,2,1
0,1,0,4,0,0,3,1.8549,3.281388,4,1.52947075
1,0,1,4,0,0,0,1.8549,4,3,1
0,0.52082009,1.354122,4,34.8614,1,0,1.8549,3.281388,4,1
3,1,0,10,0,1,2,9,6,3,2
2,0,0,10,0,1,1,1.8549,2,4,3
6,0.52082009,0,4,99,0,0,1.8549,2,4,1
0,0.52082009,0,4.8714,0,0,1,1.8549,3.281388,3.5490221,1
0,0,1.354122,10,34.8614,0,0,9,1,3,1
6,0,0,4,99,3,0,1.8549,5,4,4
1,1,1.354122,4.8714,34.8614,3,3,1.8549,3.281388,3.5490221,1.52947075
8,1,1,5,99,1,3,0,2,3,4
2,0.52082009,0,10,99,2,0,1.8549,3.281388,1,1
1,1,0,4,99,0,2,1.8549,1,2,1
1,1,1,4,0,3,1,1.8549,3,4,2
5,0,0,4,0,1,3,1.8549,3,4,3
3,1,4,10,0,1,1,1.8549,7,3,4
3,0.52082009,0,10,99,3,0,1.8549,7,4,2
1,0,2,1,0,0,0,0,6,3,3
0,1,0,4,99,0,0,9,3,2,1
1,1,1,4,99,2,1.0778,1.8549,5,3,4
2,0,1.354122,2,0,0,0,1,1,4,1
0,0,1.354122,4.8714,34.8614,1,0,1.8549,3.281388,3.5490221,1.52947075
0,0.52082009,1.354122,4.8714,34.8614,0,1,1.8549,3.281388,3.5490221,1.52947075
1,0,0,1,0,2,0,0,7,3,1
1,1,1,1,0,0,0,2,1,4,1
1,0,2,1,0,0,1,0,1,4,1
0,0.52082009,0,1,0,0,2,0,6,3,1
1,0,1,4,0,0,0,1.8549,3,4,1.52947075
7,1,4,10,99,7,3,2,4,1,1
7,0.52082009,4,1,0,0,0,0,5,4,2
4,0,0,1,0,0,0,0,5,4,1.52947075
1,0,0,1,0,2,1,0,3.281388,4,1
0,0.52082009,1.354122,1,34.8614,0,0,1.8549,3.281388,4,1
1,1,0,1,99,1,0,1,7,4,1
0,0,1.354122,1,34.8614,1,0,0,2,4,1
0,0,0,10,99,0,3,8,6,4,1
3,0,4,1,0,2,0,0,1,2,2
0,0.52082009,0,10,0,0,0,1.8549,6,3,4
2,0.52082009,0,4,99,0,1.0778,1.8549,3.281388,4,1.52947075
0,0,0,8,0,0,1,1.8549,1,4,2
2,0.52082009,0,8,0,1,1,1.8549,1,4,3
1,0,2,2,0,0,1,0,5,4,3
0,0,0,10,0,0,0,1.8549,4,4,3
2,0.52082009,5,4,0,0,1,8,5,4,1
1,1,2,4,0,0,0,1.8549,4,4,1.52947075
0,0.52082009,0,1,0,0,0,0,3,4,1.52947075
4,0.52082009,0,10,0,2,0,1.8549,1,4,2
1,1,2,1,0,0,0,0,2,3,1
3,1,2,1,0,0,1,0,3,4,2
