,LCI,top3_2
0,0,"Never Married, Not Cohabitating"
1,0,"Never Married, Not Cohabitating"
3,3,"Never Married, Cohabiting"
4,1,Married
5,1,Married
6,1,Married
7,0,"Never Married, Not Cohabitating"
8,1,"Never Married, Cohabiting"
10,3,"Never Married, Not Cohabitating"
11,2,"Never Married, Not Cohabitating"
12,6,"Never Married, Not Cohabitating"
13,0,"Never Married, Not Cohabitating"
15,6,"Never Married, Not Cohabitating"
17,8,"Never Married, Cohabiting"
18,2,"Never Married, Not Cohabitating"
19,1,"Never Married, Not Cohabitating"
20,1,"Never Married, Cohabiting"
21,5,"Never Married, Not Cohabitating"
225,2,Legally Separated
22,3,Divorced
23,3,"Never Married, Not Cohabitating"
24,1,Married
25,0,"Never Married, Not Cohabitating"
26,1,"Never Married, Cohabiting"
30,1,"Never Married, Not Cohabitating"
31,1,"Never Married, Cohabiting"
32,1,Married
33,0,"Never Married, Not Cohabitating"
34,1,"Never Married, Cohabiting"
35,7,Divorced
36,7,Divorced
37,4,"Never Married, Not Cohabitating"
38,1,"Never Married, Not Cohabitating"
40,1,"Never Married, Not Cohabitating"
42,0,"Never Married, Not Cohabitating"
43,3,Divorced
44,0,"Never Married, Not Cohabitating"
45,2,"Never Married, Not Cohabitating"
46,0,"Never Married, Not Cohabitating"
47,2,"Never Married, Not Cohabitating"
48,1,Married
49,0,"Never Married, Not Cohabitating"
50,2,Widowed
51,1,Married
52,0,"Never Married, Not Cohabitating"
53,4,"Never Married, Not Cohabitating"
54,1,Married
55,3,Married
56,0,"Never Married, Not Cohabitating"
57,0,"Never Married, Not Cohabitating"
58,2,"Never Married, Not Cohabitating"
59,2,"Never Married, Cohabiting"
60,3,Divorced
61,1,Married
62,5,Divorced
66,0,"Never Married, Not Cohabitating"
67,0,"Never Married, Not Cohabitating"
69,1,"Never Married, Cohabiting"
70,2,"Never Married, Not Cohabitating"
71,1,"Never Married, Cohabiting"
73,0,"Never Married, Not Cohabitating"
74,1,"Never Married, Not Cohabitating"
75,1,Married
77,0,"Never Married, Not Cohabitating"
78,3,"Never Married, Cohabiting"
79,0,"Never Married, Not Cohabitating"
80,0,"Never Married, Not Cohabitating"
81,1,"Never Married, Cohabiting"
82,0,"Never Married, Not Cohabitating"
83,3,Divorced
84,1,Married
85,1,Married
88,3,Divorced
89,0,"Never Married, Not Cohabitating"
91,0,"Never Married, Not Cohabitating"
92,1,Married
93,5,Married
96,3,Divorced
99,5,"Never Married, Cohabiting"
100,3,"Never Married, Cohabiting"
103,1,Married
104,1,Married
106,3,Married
107,3,Married
108,3,Married
109,1,Married
110,1,"Never Married, Not Cohabitating"
112,2,"Never Married, Not Cohabitating"
113,1,"Never Married, Not Cohabitating"
115,1,"Never Married, Cohabiting"
116,2,"Never Married, Not Cohabitating"
119,1,"Never Married, Cohabiting"
120,1,Married
121,0,"Never Married, Not Cohabitating"
125,1,"Never Married, Cohabiting"
126,1,Married
127,0,"Never Married, Not Cohabitating"
132,1,"Never Married, Not Cohabitating"
136,3,Married
137,3,"Never Married, Not Cohabitating"
142,3,Married
143,0,"Never Married, Not Cohabitating"
144,1,"Never Married, Cohabiting"
145,0,"Never Married, Not Cohabitating"
146,3,"Never Married, Cohabiting"
147,2,"Never Married, Not Cohabitating"
148,2,"Never Married, Not Cohabitating"
149,2,"Never Married, Not Cohabitating"
150,2,"Never Married, Not Cohabitating"
151,4,"Never Married, Not Cohabitating"
152,2,"Never Married, Not Cohabitating"
154,0,"Never Married, Not Cohabitating"
155,1,Married
156,1,Married
157,1,"Never Married, Not Cohabitating"
158,8,Married
159,4,"Never Married, Not Cohabitating"
160,3,"Never Married, Cohabiting"
161,5,Divorced
162,0,"Never Married, Not Cohabitating"
163,3,Divorced
164,1,Married
165,1,Married
166,0,"Never Married, Not Cohabitating"
168,9,"Never Married, Not Cohabitating"
169,2,"Never Married, Not Cohabitating"
170,1,Married
175,1,Married
176,1,Married
177,1,Married
179,1,Married
180,4,Divorced
181,1,Married
182,0,"Never Married, Not Cohabitating"
186,3,Married
187,2,"Never Married, Not Cohabitating"
189,3,"Never Married, Cohabiting"
191,6,"Never Married, Not Cohabitating"
192,6,Married
193,3,Married
194,6,"Never Married, Not Cohabitating"
196,1,Married
197,5,Married
198,1,"Never Married, Cohabiting"
199,1,Married
200,1,"Never Married, Cohabiting"
201,1,Married
202,3,Divorced
203,3,Married
205,1,"Never Married, Not Cohabitating"
206,1,Married
210,1,Married
211,1,Married
212,1,Married
213,4,"Never Married, Cohabiting"
214,1,"Never Married, Cohabiting"
215,1,Married
216,3,Married
218,0,"Never Married, Not Cohabitating"
220,2,Married
221,0,"Never Married, Not Cohabitating"
222,0,"Never Married, Not Cohabitating"
223,1,Married
224,1,Married
226,10,"Never Married, Not Cohabitating"
228,3,"Never Married, Cohabiting"
229,1,"Never Married, Not Cohabitating"
230,3,Divorced
231,2,"Never Married, Not Cohabitating"
232,1,"Never Married, Cohabiting"
233,5,"Never Married, Cohabiting"
234,0,"Never Married, Not Cohabitating"
235,0,"Never Married, Not Cohabitating"
236,0,"Never Married, Not Cohabitating"
237,0,"Never Married, Not Cohabitating"
238,0,"Never Married, Not Cohabitating"
239,1,Married
240,1,"Never Married, Cohabiting"
241,2,"Never Married, Not Cohabitating"
242,7,Married
243,1,Married
244,0,"Never Married, Not Cohabitating"
245,1,"Never Married, Not Cohabitating"
246,0,"Never Married, Not Cohabitating"
247,0,"Never Married, Not Cohabitating"
250,0,"Never Married, Not Cohabitating"
251,3,"Never Married, Cohabiting"
253,0,"Never Married, Not Cohabitating"
254,2,Legally Separated
255,1,"Never Married, Cohabiting"
256,1,"Never Married, Cohabiting"
257,3,Married
259,0,"Never Married, Not Cohabitating"
260,0,"Never Married, Not Cohabitating"
261,0,"Never Married, Not Cohabitating"
262,0,"Never Married, Not Cohabitating"
263,3,Married
264,3,Married
265,6,"Never Married, Not Cohabitating"
266,3,Married
267,1,Married
269,3,Married
270,3,Married
271,6,Divorced
272,3,Divorced
274,6,"Never Married, Not Cohabitating"
277,3,Married
279,1,Married
280,0,"Never Married, Not Cohabitating"
281,2,"Never Married, Not Cohabitating"
282,0,"Never Married, Not Cohabitating"
283,4,"Never Married, Not Cohabitating"
284,4,Married
285,1,Married
286,1,Married
287,4,"Never Married, Not Cohabitating"
288,1,"Never Married, Cohabiting"
289,1,"Never Married, Cohabiting"
290,1,Married
291,2,"Never Married, Cohabiting"
293,1,Married
294,3,"Never Married, Not Cohabitating"
295,4,Married
297,8,"Never Married, Cohabiting"
298,1,Married
299,1,Married
302,1,"Never Married, Cohabiting"
303,1,"Never Married, Cohabiting"
304,1,Married
305,1,Married
306,2,"Never Married, Not Cohabitating"
308,1,Married
310,1,Married
311,3,"Never Married, Cohabiting"
312,3,Married
314,4,"Never Married, Not Cohabitating"
319,0,"Never Married, Not Cohabitating"
320,3,Married
321,0,"Never Married, Not Cohabitating"
322,1,"Never Married, Cohabiting"
324,0,"Never Married, Not Cohabitating"
325,1,"Never Married, Cohabiting"
326,1,Married
328,0,"Never Married, Not Cohabitating"
330,3,Divorced
331,1,"Never Married, Cohabiting"
332,3,Married
333,1,Married
335,1,Married
336,0,"Never Married, Not Cohabitating"
337,1,Married
338,0,"Never Married, Not Cohabitating"
339,0,"Never Married, Not Cohabitating"
340,0,"Never Married, Not Cohabitating"
341,4,"Never Married, Not Cohabitating"
342,0,"Never Married, Not Cohabitating"
343,2,"Never Married, Not Cohabitating"
344,5,Married
345,3,Divorced
346,0,"Never Married, Not Cohabitating"
347,1,Married
348,8,"Never Married, Not Cohabitating"
350,4,Married
353,1,Married
354,4,Divorced
355,0,"Never Married, Not Cohabitating"
356,1,Married
357,1,Married
358,2,Legally Separated
359,1,Married
361,3,Divorced
362,1,Married
364,5,Divorced
365,1,Married
366,3,"Never Married, Cohabiting"
367,1,Married
369,4,Married
371,0,"Never Married, Not Cohabitating"
372,3,Divorced
373,3,Married
374,0,"Never Married, Not Cohabitating"
375,3,"Never Married, Not Cohabitating"
376,1,"Never Married, Cohabiting"
377,3,Married
381,7,Divorced
384,4,"Never Married, Not Cohabitating"
385,1,Married
386,1,Married
387,1,Married
389,4,Married
390,1,"Never Married, Not Cohabitating"
392,2,"Never Married, Not Cohabitating"
393,0,"Never Married, Not Cohabitating"
394,0,"Never Married, Not Cohabitating"
395,3,Divorced
396,4,"Never Married, Not Cohabitating"
397,1,"Never Married, Not Cohabitating"
399,1,Married
400,1,Married
401,4,"Never Married, Not Cohabitating"
402,3,Divorced
403,1,Married
405,0,"Never Married, Not Cohabitating"
406,1,Married
407,0,"Never Married, Not Cohabitating"
408,4,"Never Married, Not Cohabitating"
410,4,"Never Married, Not Cohabitating"
411,1,"Never Married, Cohabiting"
412,0,"Never Married, Not Cohabitating"
413,0,"Never Married, Not Cohabitating"
414,2,"Never Married, Not Cohabitating"
415,3,Married
416,5,Married
418,0,"Never Married, Not Cohabitating"
419,1,Married
420,1,"Never Married, Cohabiting"
421,1,"Never Married, Cohabiting"
422,4,Married
423,1,"Never Married, Cohabiting"
424,1,Married
425,6,"Never Married, Not Cohabitating"
426,3,"Never Married, Cohabiting"
427,5,Divorced
428,2,"Never Married, Not Cohabitating"
431,1,"Never Married, Cohabiting"
432,0,"Never Married, Not Cohabitating"
433,1,"Never Married, Not Cohabitating"
434,1,Married
435,1,Married
436,1,Married
437,3,Divorced
438,1,Married
439,5,Divorced
440,5,Divorced
441,1,Married
442,4,Married
443,5,"Never Married, Cohabiting"
444,0,"Never Married, Not Cohabitating"
445,2,Legally Separated
446,1,"Never Married, Not Cohabitating"
447,0,"Never Married, Not Cohabitating"
449,4,Legally Separated
450,4,"Never Married, Not Cohabitating"
451,4,Married
452,1,Married
