,LCI,top3_3,,,,,
0,0,Both biological parents,,,,,
1,0,"Two parents, biological mother",,,,,
65,0,"Two parents, biological father",,,,,
2,1,Biological mother only,,,,,
17,8,Biological father only,,,,,
110,1,Adoptive parent(s),,,,,
305,1,Foster parent(s),,,,,
46,0,"No parents, grandparents",,,,,
58,2,"No parents, other relatives",,,,,
3,3,Anything else,,,,,
4,1,Both biological parents,,,,,
5,1,"Two parents, biological mother",,,,,
6,1,Biological mother only,,,,,
7,0,Biological mother only,,,,,
8,1,Biological mother only,,,,,
9,0,Biological mother only,,,,,
10,3,Anything else,,,,,
11,2,Anything else,,,,,
12,6,Biological mother only,,,,,
14,0,Anything else,,,,,
15,6,Biological mother only,,,,,
18,2,Anything else,,,,,
19,1,Biological mother only,,,,,
20,1,Biological mother only,,,,,
21,5,Biological mother only,,,,,
22,3,Anything else,,,,,
23,3,Anything else,,,,,
24,1,Both biological parents,,,,,
25,0,Biological mother only,,,,,
26,1,Biological mother only,,,,,
27,2,"Two parents, biological mother",,,,,
30,1,Both biological parents,,,,,
31,1,Both biological parents,,,,,
32,1,Both biological parents,,,,,
33,0,Both biological parents,,,,,
34,1,Biological mother only,,,,,
35,7,Anything else,,,,,
36,7,Both biological parents,,,,,
37,4,Both biological parents,,,,,
38,1,Both biological parents,,,,,
39,0,Both biological parents,,,,,
40,1,Both biological parents,,,,,
41,0,Both biological parents,,,,,
42,0,Anything else,,,,,
43,3,Both biological parents,,,,,
44,0,Anything else,,,,,
45,2,Biological mother only,,,,,
47,2,"No parents, grandparents",,,,,
48,1,"Two parents, biological mother",,,,,
49,0,Anything else,,,,,
50,2,Biological mother only,,,,,
51,1,Biological mother only,,,,,
52,0,Both biological parents,,,,,
53,4,Anything else,,,,,
54,1,Both biological parents,,,,,
55,3,Both biological parents,,,,,
56,0,Both biological parents,,,,,
57,0,Both biological parents,,,,,
59,2,"Two parents, biological mother",,,,,
60,3,Biological mother only,,,,,
61,1,Both biological parents,,,,,
62,5,Anything else,,,,,
63,2,Both biological parents,,,,,
64,0,Both biological parents,,,,,
66,0,Biological mother only,,,,,
67,0,Both biological parents,,,,,
68,1,Both biological parents,,,,,
69,1,Both biological parents,,,,,
70,2,Biological father only,,,,,
71,1,Biological mother only,,,,,
72,0,Biological mother only,,,,,
73,0,Both biological parents,,,,,
74,1,"Two parents, biological father",,,,,
75,1,Anything else,,,,,
76,1,Both biological parents,,,,,
77,0,Biological mother only,,,,,
78,3,Biological mother only,,,,,
79,0,Biological mother only,,,,,
80,0,Biological mother only,,,,,
81,1,Biological mother only,,,,,
82,0,Biological mother only,,,,,
83,3,Biological mother only,,,,,
84,1,Biological mother only,,,,,
85,1,Anything else,,,,,
86,2,Biological mother only,,,,,
87,0,Both biological parents,,,,,
88,3,Both biological parents,,,,,
89,0,Both biological parents,,,,,
90,0,Both biological parents,,,,,
91,0,Both biological parents,,,,,
92,1,Both biological parents,,,,,
93,5,Biological mother only,,,,,
96,3,Both biological parents,,,,,
97,0,Anything else,,,,,
98,0,Biological mother only,,,,,
99,5,Anything else,,,,,
100,3,Anything else,,,,,
101,2,Both biological parents,,,,,
102,0,Both biological parents,,,,,
103,1,Both biological parents,,,,,
104,1,Both biological parents,,,,,
106,3,Both biological parents,,,,,
107,3,Both biological parents,,,,,
108,3,Both biological parents,,,,,
109,1,Both biological parents,,,,,
111,0,Both biological parents,,,,,
112,2,Both biological parents,,,,,
113,1,Both biological parents,,,,,
114,0,Biological mother only,,,,,
115,1,Biological mother only,,,,,
116,2,Biological mother only,,,,,
117,0,Both biological parents,,,,,
120,1,Both biological parents,,,,,
121,0,Both biological parents,,,,,
125,1,Both biological parents,,,,,
126,1,Both biological parents,,,,,
127,0,Biological mother only,,,,,
128,0,"Two parents, biological father",,,,,
129,0,"Two parents, biological father",,,,,
131,1,Both biological parents,,,,,
133,0,Both biological parents,,,,,
134,1,Anything else,,,,,
135,0,Both biological parents,,,,,
136,3,Anything else,,,,,
137,3,Both biological parents,,,,,
138,0,Anything else,,,,,
142,3,Anything else,,,,,
143,0,"Two parents, biological mother",,,,,
144,1,"Two parents, biological mother",,,,,
145,0,Both biological parents,,,,,
146,3,Both biological parents,,,,,
147,2,Biological mother only,,,,,
148,2,Anything else,,,,,
149,2,Biological mother only,,,,,
150,2,Biological mother only,,,,,
152,2,Biological mother only,,,,,
154,0,Both biological parents,,,,,
155,1,Both biological parents,,,,,
156,1,Both biological parents,,,,,
157,1,Both biological parents,,,,,
158,8,Both biological parents,,,,,
159,4,Anything else,,,,,
160,3,Biological mother only,,,,,
161,5,Anything else,,,,,
162,0,Anything else,,,,,
163,3,Both biological parents,,,,,
164,1,Both biological parents,,,,,
165,1,Both biological parents,,,,,
166,0,Biological father only,,,,,
167,1,Biological mother only,,,,,
168,9,Both biological parents,,,,,
169,2,Both biological parents,,,,,
170,1,Both biological parents,,,,,
174,1,Both biological parents,,,,,
175,1,Both biological parents,,,,,
176,1,Both biological parents,,,,,
180,4,Both biological parents,,,,,
181,1,Both biological parents,,,,,
182,0,Both biological parents,,,,,
183,0,Both biological parents,,,,,
184,3,Anything else,,,,,
185,0,Both biological parents,,,,,
186,3,Anything else,,,,,
188,0,Biological mother only,,,,,
189,3,Biological mother only,,,,,
190,5,Adoptive parent(s),,,,,
191,6,Biological mother only,,,,,
192,6,Biological mother only,,,,,
193,3,Anything else,,,,,
194,6,Biological mother only,,,,,
195,0,Both biological parents,,,,,
197,5,Anything else,,,,,
198,1,"Two parents, biological father",,,,,
199,1,Biological mother only,,,,,
200,1,Both biological parents,,,,,
201,1,Both biological parents,,,,,
202,3,Both biological parents,,,,,
203,3,Anything else,,,,,
204,3,Biological mother only,,,,,
205,1,Both biological parents,,,,,
206,1,Both biological parents,,,,,
207,1,Both biological parents,,,,,
208,0,Both biological parents,,,,,
209,1,Both biological parents,,,,,
210,1,Both biological parents,,,,,
211,1,Both biological parents,,,,,
212,1,Both biological parents,,,,,
213,4,Both biological parents,,,,,
214,1,Biological mother only,,,,,
215,1,Both biological parents,,,,,
216,3,Anything else,,,,,
218,0,Both biological parents,,,,,
219,0,Both biological parents,,,,,
220,2,"Two parents, biological father",,,,,
221,0,Both biological parents,,,,,
222,0,Both biological parents,,,,,
223,1,"Two parents, biological father",,,,,
224,1,Biological father only,,,,,
225,2,Biological mother only,,,,,
226,10,Anything else,,,,,
227,2,Both biological parents,,,,,
228,3,Both biological parents,,,,,
229,1,Both biological parents,,,,,
230,3,"Two parents, biological father",,,,,
231,2,Anything else,,,,,
232,1,Both biological parents,,,,,
233,5,Anything else,,,,,
234,0,Anything else,,,,,
235,0,"Two parents, biological mother",,,,,
236,0,Both biological parents,,,,,
237,0,Anything else,,,,,
239,1,Both biological parents,,,,,
240,1,Both biological parents,,,,,
241,2,Both biological parents,,,,,
242,7,Biological mother only,,,,,
243,1,Both biological parents,,,,,
244,0,Both biological parents,,,,,
245,1,Biological mother only,,,,,
246,0,Biological mother only,,,,,
247,0,Biological mother only,,,,,
249,3,Anything else,,,,,
250,0,Both biological parents,,,,,
251,3,Both biological parents,,,,,
252,0,Both biological parents,,,,,
253,0,Biological mother only,,,,,
255,1,Biological father only,,,,,
256,1,Biological father only,,,,,
257,3,Anything else,,,,,
258,0,Both biological parents,,,,,
259,0,Biological mother only,,,,,
260,0,Biological mother only,,,,,
261,0,Biological mother only,,,,,
262,0,Biological mother only,,,,,
263,3,Both biological parents,,,,,
264,3,Both biological parents,,,,,
265,6,Anything else,,,,,
266,3,Both biological parents,,,,,
267,1,Anything else,,,,,
268,2,Biological father only,,,,,
269,3,Biological mother only,,,,,
270,3,Anything else,,,,,
271,6,Anything else,,,,,
272,3,Anything else,,,,,
273,5,Anything else,,,,,
274,6,Anything else,,,,,
275,1,Anything else,,,,,
